date,exchange,code,name
Jul 7th 2025,NYSEMKT,SOFX,Defiance Daily Target 2X Long SOFI ETF
Jul 7th 2025,NYSEMKT,TEMT,Tradr 2X Long TEM Daily ETF
Jul 7th 2025,NYSEMKT,SAPH,Precidian ETFs Trust
Jul 7th 2025,NYSEMKT,SBEV.WT,"Splash Beverage Group, Inc. WT"
Jul 7th 2025,NYSEMKT,RVNL,GraniteShares 2x Long RIVN Daily ETF
Jul 7th 2025,NYSEMKT,SBXD.UN,SilverBox Corp IV
Jul 7th 2025,NYSEMKT,RSMR,First Trust Exchange-Traded Fund VIII
Jul 7th 2025,NYSEMKT,RSMV,Listed Funds Trust
Jul 7th 2025,NYSEMKT,SBXD.WT,SilverBox Corp IV WT
Jul 7th 2025,NYSEMKT,TEMX,Touchstone Sands Capital Emerging Markets ex-China Growth ETF
Jul 7th 2025,NYSEMKT,RGTX,Defiance Daily Target 2X Long RGTI ETF
Jul 7th 2025,NYSEMKT,RIOX,Tidal Trust II
Jul 7th 2025,NYSEMKT,RCGE,RockCreek Global Equality ETF
May 19th 2025,NYSE,MBSX,Advisor Managed Portfolios
May 19th 2025,NYSE,NOTE.WT,NOTE-WT
May 19th 2025,NYSE,PBQQ,PGIM Laddered Nasdaq-100 Buffer 12 ETF
May 19th 2025,NYSE,LEGT.UN,Legato Merger Corp. III
May 19th 2025,NYSE,LMUB,iShares Trust
May 19th 2025,NYSE,MAVF,EA Series Trust
May 19th 2025,NYSE,LCDL,GraniteShares 2x Long LCID Daily ETF
May 19th 2025,NYSE,PEPS,Parametric Equity Plus ETF
May 19th 2025,NYSE,JFLI,J.P. Morgan Exchange-Traded Fund Trust
May 19th 2025,NYSE,JHCP,John Hancock Exchange-Traded Fund Trust
May 19th 2025,NYSE,JANM,FT Vest U.S. Equity Max Buffer ETF - January
May 19th 2025,NYSE,JHCR,John Hancock Exchange-Traded Fund Trust
Jan 10th 2024,NASDAQ,ACRX,Acelrx Pharmaceuticals
Jan 10th 2024,NYSEARCA,VDNI,Managed Portfolio Series - V-Shares US Leadership Diversity ETF
Jan 9th 2024,NASDAQ,STXG,EA Series Trust - Strive 1000 Growth ETF
Jan 9th 2024,NASDAQ,STXD,EA Series Trust - Strive 1000 Dividend Growth ETF
Jan 9th 2024,NASDAQ,LMDX,LumiraDx
Jan 9th 2024,NASDAQ,ACAX,Alset Capital Acquisition
Jan 9th 2024,NYSEARCA,STXE,EA Series Trust - Strive Emerging Markets Ex-China ETF
Jan 9th 2024,NYSEARCA,JBND,J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Active Bond ETF
Jan 9th 2024,NASDAQ,STXV,EA Series Trust - Strive 1000 Value ETF
Jan 9th 2024,NASDAQ,STXK,EA Series Trust - Strive Small-Cap ETF
Jan 8th 2024,NASDAQ,SLGC,SomaLogic
Jan 8th 2024,NASDAQ,TDSE,Exchange Listed Funds Trust - Cabana Target Drawdown 16 ETF
Jan 8th 2024,NASDAQ,TDSD,Exchange Listed Funds Trust - Cabana Target Drawdown 13 ETF
Jan 8th 2024,NASDAQ,CLSC,Exchange Listed Funds Trust - Cabana Target Leading Sector Conservative ETF
Jan 8th 2024,NASDAQ,CLSA,Exchange Listed Funds Trust - Cabana Target Leading Sector Aggressive ETF
Jan 8th 2024,NYSE,RGS,Regis
Jan 6th 2024,NYSE,SRT,Startek
Jan 6th 2024,NYSEARCA,SIO,Touchstone ETF Trust - Touchstone Strategic Income Opportunities ETF
Jan 6th 2024,NYSEARCA,SHOC,EA Series Trust - Strive U.S. Semiconductor ETF
Jan 6th 2024,NYSEARCA,FTWO,EA Series Trust - Strive FAANG 2.0 ETF
Jan 6th 2024,NASDAQ,MOBQ,Mobiquity Technologies
Jan 6th 2024,NYSEARCA,PBP,Invesco Capital Management LLC - Invesco S&P 500 BuyWrite ETF
Jan 6th 2024,NYSE,CHS,Chico`s Fas
Jan 5th 2024,NYSE,LTHM,Livent
Jan 4th 2024,NASDAQ,SOFO,Sonic Foundry
Mar 27th 2025,NYSE,0P0000A2WI,Fidelity American High Yield Sr B
Mar 27th 2025,NASDAQ,BBLGW,Bone Biologics Corp Warrants
Mar 27th 2025,NASDAQ,CMPOV,"CompoSecure, Inc. Class A Common Stock Ex-distribution When-Issued"
Mar 27th 2025,NASDAQ,GLLIW,Globalink Investment Inc. Warrants
Mar 27th 2025,NASDAQ,HCP,Hashicorp
Mar 27th 2025,NASDAQ,INFN,Infinera Corporation
Mar 27th 2025,NASDAQ,IXQWF,IX Acquisition
Mar 27th 2025,NASDAQ,RILYM,"B. Riley Financial, Inc. 6.375% Senior Notes due 2025"
Mar 27th 2025,NYSE,TUSB,Thrivent ETF Trust
Mar 27th 2025,NYSE,TWOX,iShares Large Cap Accelerated ETF
Mar 27th 2025,NYSE,USAF,Atlas America Fund
Mar 27th 2025,NYSE,UXJA,FT Vest U.S. Equity Uncapped Accelerator ETF - January
Mar 27th 2025,NYSE,VSDM,VSDM
Mar 27th 2025,NYSE,WAR,ETF Series Solutions
Mar 27th 2025,NYSE,YFYA,Listed Funds Trust
Mar 27th 2025,NYSE,RDW.WT,RDW-WT
Mar 27th 2025,NYSE,ROPE,EA Series Trust
Mar 27th 2025,NYSE,RSDE,First Trust Exchange-Traded Fund VIII
Jan 11th 2025,NYSEARCA,EVE.WT,EVe Mobility Acquisition Corp WT
Feb 23rd 2025,NYSEARCA,RDTY,YieldMax Russell 2000 0DTE Covered Call Strategy ETF
Feb 23rd 2025,NYSEARCA,QTPI,Exchange Place Advisors Trust
Feb 23rd 2025,NYSEARCA,QMNV,FT Vest Nasdaq-100 Moderate Buffer ETF â November
Feb 23rd 2025,NYSEARCA,QCJA,FT Vest Nasdaq-100 Conservative Buffer ETF - January
Feb 23rd 2025,NYSEARCA,QBTS.WT,QBTS-WT
Feb 23rd 2025,NYSEARCA,PQOC,PGIM Nasdaq-100 Buffer 12 ETF - October
Feb 23rd 2025,NYSEARCA,PQJA,PGIM Nasdaq-100 Buffer 12 ETF - January
Feb 23rd 2025,NYSEARCA,PQAP,PGIM Nasdaq-100 Buffer 12 ETF - April
Feb 23rd 2025,NYSEARCA,PMJA,PGIM S&P 500 Max Buffer ETF - January
Feb 23rd 2025,NYSEARCA,PEVC,Pacer Funds Trust
Feb 23rd 2025,NYSEARCA,ORR,Militia Long/Short Equity ETF
Feb 23rd 2025,NYSEARCA,ORCX,Defiance Daily Target 2X Long ORCL ETF
Feb 23rd 2025,NYSEARCA,OPP.PC,OPP-PC
Feb 23rd 2025,NYSEARCA,OPFI.WT,OPFI-WT
Feb 23rd 2025,NYSEARCA,NVOX,Defiance Daily Target 2X Long NVO ETF
Feb 23rd 2025,NYSEARCA,NVOH,NVOH
Feb 23rd 2025,NYSEARCA,ML.WT,ML-WT
Feb 23rd 2025,NYSEARCA,LANV.WT,LANV-WT
Feb 23rd 2025,NYSEARCA,KLMN,Invesco Exchange-Traded Fund Trust II
Feb 23rd 2025,NYSEARCA,JIII,Janus Detroit Street Trust
Feb 23rd 2025,NYSEARCA,ITDJ,iShares Trust
Feb 14th 2026,NASDAQ,MFH,Mercurity Fintech Holding
Feb 14th 2026,NYSE,WOW,WideOpenWest
Feb 13th 2026,NYSE,GES,Guess?
Feb 13th 2026,NASDAQ,LEXXW,Lexaria Bioscience
Feb 12th 2026,NYSE,NXC,Nuveen California Select Tax Free Income Closed Fund
Feb 12th 2026,NYSE,NXN,Nuveen New York Select Tax-Free Income Portfolio
Feb 12th 2026,NASDAQ,QSG,QuantaSing Group Limited American Depositary Shares
Feb 11th 2026,NASDAQ,UAC,United Acquisition Corp. I
Feb 11th 2026,NASDAQ,VHCP,Vine Hill Capital Investment Corp. II
Feb 11th 2026,NASDAQ,VHCPW,Vine Hill Capital Investment Corp. II Warrants
Feb 11th 2026,NASDAQ,SNPX,Tradr 2X Long SNPS Daily ETF
Feb 11th 2026,NASDAQ,TDHI,Ninepoint TD Highshares ETF
Feb 11th 2026,NASDAQ,TEXX,Horizon Kinetics Texas ETF
Feb 11th 2026,NASDAQ,WTLS,WisdomTree Trust - WisdomTree Efficient Long/Short US Equity Fund
Feb 11th 2026,NASDAQ,TLDR,REX ETF Trust - REX Laddered T-Bill ETF
Feb 11th 2026,NASDAQ,^TNX,CBOE Interest Rate 10 Year T No
Feb 11th 2026,NASDAQ,TLTU,MegaLong(3X)20+YrUS Trs Dl LvrgdAltETF
Feb 11th 2026,NASDAQ,TNXT,T. Rowe Price Innovation Leaders ETF
Feb 11th 2026,NASDAQ,QFHD,Pacer S&P 500 Quality FCF High Dividend ETF
Feb 11th 2026,NASDAQ,QADRU,QDRO Acquisition Corp. Units
Feb 11th 2026,NASDAQ,QFRD,Pacer S&P 500 Quality FCF R&D Leaders ETF
Feb 11th 2026,NASDAQ,PIEL,Pacer International Export Leaders ETF
Feb 11th 2026,NASDAQ,PAYM,TrueShares S&P Autocallable Defensive Income ETF
Feb 11th 2026,NASDAQ,PMNV,PGIM S&P 500 Max Buffer ETF - November
Feb 11th 2026,NASDAQ,RQT,RBC Target 2031 Canadian Corp Bd ETF
Feb 11th 2026,NASDAQ,ZDB,BMO Discount Bond ETF
Feb 11th 2026,NASDAQ,LPCVW,Launchpad Cadenza Acquisition Corp I Warrant
Feb 11th 2026,NASDAQ,LPCV,Launchpad Cadenza Acquisition Corp I Class A Ordinary Share
Feb 11th 2026,NASDAQ,KAMO,Kensington Credit Opportunities ETF
Feb 11th 2026,NASDAQ,ZFS,BMO Short Federal Bond ETF
Feb 11th 2026,NASDAQ,FSCPH26,Stoxx Europe Small 200 Future Mar 26
Feb 11th 2026,NASDAQ,FMWOH26,MSCI World USD Net Total Return Future Mar 26
Feb 11th 2026,NASDAQ,CRHI,Ninepoint Cnr Highshares ETF
Feb 11th 2026,NASDAQ,EFGD,Eurobank Ergasias Services And Holdings
Feb 11th 2026,NASDAQ,ENHI,Ninepoint Enbridge Highshares ETF
Feb 11th 2026,NASDAQ,EOSU,T-Rex 2X Long Eose Daily Target ETF
Feb 11th 2026,NASDAQ,CCXIW,Churchill Capital Corp XI Warrants
Feb 11th 2026,NASDAQ,CCOM,Simplify Exchange Traded Funds
Feb 11th 2026,NASDAQ,FFF,Founders 100 ETF
Feb 11th 2026,NASDAQ,CQHI,Ninepoint Canadian Natural Res Hig ETF
Feb 11th 2026,NASDAQ,AINT,Tidal Trust I
Feb 11th 2026,NASDAQ,ADACW,American Drive Acquisition Company Warrant
Feb 11th 2026,NASDAQ,AVRY,EA Series Trust - Avory Foundational ETF
Jul 7th 2025,NYSE,PMTR,Perimeter Acquisition Corp. I
Jul 7th 2025,NYSEMKT,MATAF,Matador Technologies
Jul 7th 2025,NYSE,LWACU,LightWave Acquisition Corp. Units
Jan 4th 2024,NYSEARCA,DEIF,Northern Lights Fund Trust IV - Sterling Capital Diverse Multi-Manager Active ETF
Jan 4th 2024,NYSEARCA,DEFI,"Teucrium Trading, LLC - Hashdex Bitcoin Futures ETF"
Jan 3rd 2024,NYSE,GIM,Templeton Global Income Fund
Jan 3rd 2024,NYSE,RPT,RPT Realty
Jan 3rd 2024,NYSE,CORR,CorEnergy Infrastructure Trust
Jan 3rd 2024,NYSE,LAZ,Lazard
Jan 3rd 2024,NYSEMKT,ADEX,Griid Infrastructure
Jan 3rd 2024,NYSEARCA,XWEB,SPDR Series Trust - SPDR S&P Internet ETF
Jan 2nd 2024,NASDAQ,DISH,Dish Network
Jan 2nd 2024,NYSE,BYN,Banyan Acquisition
Dec 30th 2023,NYSE,NETI,Eneti
Dec 29th 2023,NASDAQ,IOAC,Innovative International Acquisition
Dec 29th 2023,NASDAQ,CWBR,CohBar
Dec 28th 2023,NASDAQ,EBIX,Ebix
Dec 28th 2023,NASDAQ,NUKK,Nukkleus Inc - New
Dec 28th 2023,NASDAQ,OHAA,OPY Acquisition Corp I
Dec 28th 2023,NYSEARCA,OPPX,Exchange Listed Funds Trust - Corbett Road Tactical Opportunity ETF
Dec 28th 2023,NYSEARCA,ARMR,Exchange Listed Funds Trust - Armor US Equity Index ETF
Dec 28th 2023,NASDAQ,AMTI,Applied Molecular Transport
Dec 27th 2023,NASDAQ,ENER,Accretion Acquisition
Dec 27th 2023,NYSEARCA,STGF,Listed Funds Trust - Merk Stagflation ETF
Dec 27th 2023,NASDAQ,JAQC,Jupiter Acquisition
Jan 11th 2025,NYSEARCA,MIMI,Mint Incorporation
Jan 11th 2025,NASDAQ,LUMO,Lumos Pharma
Jan 11th 2025,NYSEARCA,HYAC.WT,HYAC-WT
Jan 11th 2025,NYSEARCA,GRAF.UN,Graf Global
Feb 16th 2026,NYSEMKT,IACOU,Idea Acquisition Corp. Units
Feb 16th 2026,NYSEMKT,CRMU,Leverage Shares 2x Long CRML Daily ETF
Feb 16th 2026,NYSEMKT,DCH,Dauch Corporation
Feb 16th 2026,NYSEMKT,DBCAU,D. Boral Acquisition I Corp. Unit
Feb 16th 2026,NYSEMKT,SCPQ,Social Commerce Partners Corporation
Feb 16th 2026,NYSEMKT,IDVY,First Trust International Rising Dividend Achievers ETF
Feb 16th 2026,NYSEMKT,AVTM,American Century ETF Trust
Feb 16th 2026,NYSEMKT,ASMU,Direxion Daily ASML Bull 2X ETF
Feb 16th 2026,NYSEMKT,BABU,Direxion Daily BABA Bull 2X ETF
Feb 16th 2026,NYSEMKT,XRXDW,Xerox Holdings Corporation Warrants
Feb 16th 2026,NYSEMKT,WLIIU,Willow Lane Acquisition Corp. II Unit
Feb 16th 2026,NYSEMKT,UECG,Leverage Shares 2x Long UEC Daily ETF
Feb 16th 2026,NASDAQ,VSSYW,Versus Systems
Feb 16th 2026,NYSEMKT,SVIVU,Spring Valley Acquisition Corp. IV Units
Feb 16th 2026,NYSEMKT,SCPQW,Social Commerce Partners Corporation Warrant
Feb 16th 2026,NYSEMKT,SOFA,Direxion Daily SOFI Bull 2X ETF
Feb 16th 2026,NYSEMKT,SVAQ,Silicon Valley Acquisition
Feb 16th 2026,NYSEMKT,SVAQW,Silicon Valley Acquisition Corp. Warrants
Feb 15th 2026,NASDAQ,MNMD,Mind Medicine
Aug 9th 2025,NYSEMKT,JPX,Defiance Daily Target 2X Long JPM ETF
Aug 9th 2025,NYSEMKT,JDVL,John Hancock Exchange-Traded Fund Trust
Aug 9th 2025,NYSEMKT,JENA,Jena Acquisition Corporation II
Aug 9th 2025,NYSEMKT,IVES,Dan IVES Wedbush AI Revolution ETF
Aug 9th 2025,NYSEMKT,JABS,Janus Detroit Street Trust
Aug 9th 2025,NYSEMKT,IONX,Defiance Daily Target 2X Long IONQ ETF
Aug 9th 2025,NYSEMKT,IRHOU,Iron Horse Acquisitions Corp. II Units
Nov 7th 2025,NASDAQ,CEGX,Tradr 2X Long CEG Daily ETF
Nov 7th 2025,NASDAQ,AGMPP,FEDERAL AGRIC MTG NON CUMULATIVE P
Nov 7th 2025,NASDAQ,AAAA,Amplius Aggressive Asset Allocation ETF
Nov 7th 2025,NASDAQ,ABLS,Abacus FCF Small Cap Leaders ETF
Nov 7th 2025,NASDAQ,CMA.PB,Comerica
Nov 7th 2025,NASDAQ,AGCC,Agencia Comercial Spirits
Nov 7th 2025,NASDAQ,0P0001O70F,Lord Abbett Crdt Opps Offsh Access A$Dis
Nov 7th 2025,NASDAQ,0P0001TFII,Pacific North of Sth EM Eq Inc OppsI$Acc
Nov 7th 2025,NASDAQ,0P00017MHK,Lord Abbett Innovation Growth A USD
Nov 7th 2025,NASDAQ,0P0001MVBP,0P0001MVBP
Nov 7th 2025,NASDAQ,0P0001V26H,PineBridge Global Focus Equity R
Nov 7th 2025,NASDAQ,0P0000V6X4,Vanguard Target Retire Trust Plus 2040
Nov 7th 2025,NASDAQ,0P0001VYBT,Candriam Bonds Credit Alpha R USD H Acc
Nov 7th 2025,NASDAQ,DRGN,Themes China Generative Artificial Intelligence ETF
Nov 7th 2025,NYSE,ANG.PB,American National Group
Aug 9th 2025,NYSEMKT,HFMF,Tidal Trust I
Aug 9th 2025,NYSEMKT,GXPT,Global X Funds
Aug 9th 2025,NYSEMKT,HCMAU,HCM III Acquisition Corp. Units
Aug 9th 2025,NYSEMKT,GXPS,Global X Funds
Aug 9th 2025,NYSEMKT,IAUI,NEOS Gold High Income ETF
Aug 9th 2025,NYSEMKT,GXPD,Global X Funds
Aug 9th 2025,NYSEMKT,HFEQ,Tidal Trust I
Aug 9th 2025,NYSEMKT,GXPE,Global X Funds
Aug 9th 2025,NYSEMKT,GEOA,WisdomTree Trust
Aug 9th 2025,NYSEMKT,GLIBA,"GCI Liberty, Inc. - Series A GCI Group"
Aug 9th 2025,NYSEMKT,GEME,Pacific North of South EM Equity Active ETF
Feb 9th 2023,NYSEARCA,PQIN,PGIM ETF Trust - PGIM Quant Solutions Strategic Alpha International Equity ETF
Feb 8th 2023,NYSEARCA,VEGN,ETF Series Solutions Trust - US Vegan Climate ETF
Feb 8th 2023,NASDAQ,DRAY,Macondray Capital Acquisition Corp I
Feb 8th 2023,NYSE,PMAR,Principal Maritime Tankers
Feb 5th 2023,NASDAQ,POSH,Poshmark
